Time,vcu.INS.vz
617903025,-0.0467926673591137
617905600,-0.0469474941492081
617908028,-0.0470323972404003
617910492,-0.0470453463494778
617912949,-0.0471283420920372
617915649,-0.0471749193966389
617940488,-0.0471949577331543
617962960,-0.0474136918783188
617965520,-0.0474067367613316
617980491,-0.0475665479898453
617982962,-0.0476246401667595
617985762,-0.0476486422121525
618000524,-0.0474549941718578
618003053,-0.0474642775952816
618005600,-0.0474657863378525
618007995,-0.0474838651716709
618010573,-0.0474765561521053
618012949,-0.0474318489432335
618040571,-0.0477468930184841
618042972,-0.0477504394948483
618045543,-0.0478640086948872
618048018,-0.0479119643568993
618050512,-0.0479948781430721
618060494,-0.0479809418320656
618100491,-0.0480375997722149
618110484,-0.0481375642120838
618112995,-0.0481098517775536
618115669,-0.0482180342078209
618117991,-0.0483029335737228
618143005,-0.0481470376253128
618160472,-0.0476802587509155
618162934,-0.0475959666073322
618165658,-0.047657061368227
618182902,-0.0476579628884792
618185761,-0.0476629883050919
618187992,-0.0476723611354828
618190667,-0.047795832157135
618200515,-0.0478048659861088
618202984,-0.0479224435985088
618205597,-0.0478962957859039
618212966,-0.0478142462670803
618215610,-0.0478538386523724
618218183,-0.0478233210742474
618220698,-0.0478221550583839
618230519,-0.0480015799403191
618232926,-0.0480958074331284
618258018,-0.048068143427372
618260551,-0.0481342412531376
618262925,-0.0481371581554413
618265603,-0.0479751303792
618268064,-0.0479088611900806
618280560,-0.0477746315300465
618282925,-0.0478220097720623
618285703,-0.0477500185370445
618300602,-0.0478785522282124
618303019,-0.0478475093841553
618305637,-0.0479841791093349
618307966,-0.047922670841217
618310608,-0.0480632111430168
618312988,-0.0480533391237259
618315685,-0.0481042042374611
618317995,-0.048225324600935
618340707,-0.0485923327505589
618360749,-0.0489015392959118
618363042,-0.048939760774374
618382925,-0.0469492189586163
618385774,-0.0468622259795666
618388005,-0.04682557284832
618390793,-0.0468767508864403
618392925,-0.0468750111758709
618400837,-0.0470999665558338
618410879,-0.0473239310085773
